 INFO  Accepting connections at http://localhost:3000
 HTTP  10/15/2023 12:03:29 PM ::1 GET /
 HTTP  10/15/2023 12:03:29 PM ::1 Returned 200 in 15 ms
 HTTP  10/15/2023 12:03:30 PM ::1 GET /static/js/main.f8cf6560.chunk.js
 HTTP  10/15/2023 12:03:30 PM ::1 GET /static/js/2.182e61df.chunk.js
 HTTP  10/15/2023 12:03:30 PM ::1 Returned 304 in 4 ms
 HTTP  10/15/2023 12:03:30 PM ::1 Returned 304 in 4 ms
 HTTP  10/15/2023 12:03:30 PM ::1 GET /static/css/main.55a54c47.chunk.css
 HTTP  10/15/2023 12:03:30 PM ::1 Returned 304 in 1 ms
 HTTP  10/15/2023 12:03:31 PM ::1 GET /static/media/collaborate.caec646f.png
 HTTP  10/15/2023 12:03:31 PM ::1 Returned 200 in 3 ms
 HTTP  10/15/2023 12:03:33 PM ::1 GET /
 HTTP  10/15/2023 12:03:33 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:03:33 PM ::1 GET /square44x44Logo.png
 HTTP  10/15/2023 12:03:33 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:03:33 PM ::1 GET /static/css/main.55a54c47.chunk.css
 HTTP  10/15/2023 12:03:33 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:03:33 PM ::1 GET /static/js/main.f8cf6560.chunk.js
 HTTP  10/15/2023 12:03:33 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:03:33 PM ::1 GET /static/js/2.182e61df.chunk.js
 HTTP  10/15/2023 12:03:33 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:03:34 PM ::1 GET /square150x150Logo.png
 HTTP  10/15/2023 12:03:34 PM ::1 GET /square44x44Logo.png
 HTTP  10/15/2023 12:03:34 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:03:34 PM ::1 Returned 200 in 4 ms
 HTTP  10/15/2023 12:03:35 PM ::1 GET /static/media/user.5405d77c.png
 HTTP  10/15/2023 12:03:35 PM ::1 Returned 304 in 2 ms
 HTTP  10/15/2023 12:03:35 PM ::1 GET /static/media/collaborate.caec646f.png
 HTTP  10/15/2023 12:03:35 PM ::1 Returned 304 in 0 ms
 HTTP  10/15/2023 12:03:35 PM ::1 GET /static/media/collaborate.caec646f.png
 HTTP  10/15/2023 12:03:35 PM ::1 Returned 304 in 1 ms
 HTTP  10/15/2023 12:03:35 PM ::1 GET /static/media/user.5405d77c.png
 HTTP  10/15/2023 12:03:35 PM ::1 Returned 304 in 0 ms
 HTTP  10/15/2023 12:04:11 PM ::1 GET /
 HTTP  10/15/2023 12:04:11 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:04:12 PM ::1 GET /static/media/user.5405d77c.png
 HTTP  10/15/2023 12:04:12 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:04:13 PM ::1 GET /manifest.json
 HTTP  10/15/2023 12:04:13 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:04:14 PM ::1 GET /logo192.png
 HTTP  10/15/2023 12:04:14 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:08:43 PM ::1 GET /static/js/2.182e61df.chunk.js.map
 HTTP  10/15/2023 12:08:43 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:08:43 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:08:43 PM ::1 Returned 200 in 18 ms
 HTTP  10/15/2023 12:08:43 PM ::1 GET /manifest.json
 HTTP  10/15/2023 12:08:43 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:08:44 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  10/15/2023 12:13:45 PM ::1 GET /static/js/2.182e61df.chunk.js.map
